,Rule,Confidence,Support,Lift
2323,"(""'T1027'"", ""'T1059.005'"", ""'T1566.001'"") -> (""'T1204.002'"",)",1.0,0.05898123324396784,5.567164179104476
1650,"(""'T1059.003'"", ""'T1059.005'"", ""'T1566.001'"") -> (""'T1204.002'"",)",1.0,0.05093833780160858,5.567164179104478
1155,"(""'T1033'"", ""'T1057'"", ""'T1083'"") -> (""'T1082'"",)",1.0,0.08847184986595175,2.295384615384616
1264,"(""'T1027'"", ""'T1204.001'"", ""'T1204.002'"") -> (""'T1566.002'"",)",1.0,0.05093833780160858,13.321428571428573
1547,"(""'T1105'"", ""'T1140'"", ""'T1566.001'"") -> (""'T1204.002'"",)",1.0,0.05764075067024128,5.567164179104476
338,"(""'T1204.001'"", ""'T1566.001'"") -> (""'T1566.002'"",)",1.0,0.05361930294906166,13.321428571428573
328,"(""'T1204.001'"", ""'T1566.001'"") -> (""'T1204.002'"",)",1.0,0.05361930294906166,5.567164179104478
1533,"(""'T1204.001'"", ""'T1566.001'"") -> (""'T1204.002'"", ""'T1566.002'"")",1.0,0.05361930294906166,16.217391304347828
1180,"(""'T1033'"", ""'T1057'"", ""'T1113'"") -> (""'T1082'"",)",1.0,0.05764075067024128,2.2953846153846156
1471,"(""'T1059.005'"", ""'T1105'"", ""'T1566.001'"") -> (""'T1204.002'"",)",1.0,0.06300268096514745,5.567164179104478
404,"(""'T1059.005'"", ""'T1566.001'"") -> (""'T1204.002'"",)",1.0,0.07372654155495978,5.567164179104476
1504,"(""'T1082'"", ""'T1105'"", ""'T1566.001'"") -> (""'T1204.002'"",)",1.0,0.05898123324396784,5.567164179104476
1539,"(""'T1204.001'"", ""'T1566.001'"", ""'T1566.002'"") -> (""'T1204.002'"",)",1.0,0.05361930294906166,5.567164179104478
1241,"(""'T1033'"", ""'T1056.001'"", ""'T1057'"") -> (""'T1082'"",)",1.0,0.05227882037533512,2.295384615384616
1537,"(""'T1204.001'"", ""'T1204.002'"", ""'T1566.001'"") -> (""'T1566.002'"",)",1.0,0.05361930294906166,13.321428571428573
372,"(""'T1105'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9871794871794872,0.1032171581769437,5.495790279372369
1150,"(""'T1027'"", ""'T1105'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9830508474576272,0.0777479892761394,5.4728054642044
