,TTPs
10,"'T1547.001', 'T1053.005', 'T1057', 'T1203', 'T1140', 'T1573.001', 'T1059.005', 'T1220', 'T1566.001', 'T1016', 'T1082', 'T1041', 'T1036.004', 'T1564.003', 'T1106', 'T1124', 'T1001.003', 'T1059.007', 'T1027.001', 'T1090.001', 'T1574.002', 'T1029', 'T1204.002', 'T1059.003', 'T1071.001', 'T1027'"
11,"'T1546.003', 'T1548.002', 'T1090.004', 'T1583.001', 'T1027.002', 'T1043', 'T1566.002', 'T1047', 'T1553.005', 'T1070.004', 'T1587.003', 'T1070.006', 'T1005', 'T1589.001', 'T1136.003', 'T1021.001', 'T1588.002', 'T1555.003', 'T1087.004', 'T1071.001', 'T1606.002', 'T1078.004', 'T1095', 'T1090.003', 'T1204.002', 'T1053.005', 'T1484.002', 'T1568', 'T1213.003', 'T1560.001', 'T1059.006', 'T1558.003', 'T1621', 'T1587.001', 'T1083', 'T1003.006', 'T1218.005', 'T1027.006', 'T1584.001', 'T1114.002', 'T1190', 'T1218.011', 'T1606.001', 'T1573', 'T1074.002', 'T1027', 'T1036.005', 'T1057', 'T1036', 'T1566.003', 'T1566.001', 'T1068', 'T1098.005', 'T1550.001', 'T1550', 'T1078', 'T1102.002', 'T1555', 'T1213', 'T1546.008', 'T1595.002', 'T1098.003', 'T1505.003', 'T1550.004', 'T1105', 'T1133', 'T1059.005', 'T1021.006', 'T1110.003', 'T1552.004', 'T1547.001', 'T1199', 'T1098.002', 'T1090.001', 'T1087.002', 'T1140', 'T1539', 'T1562.004', 'T1204.001', 'T1553.002', 'T1070', 'T1482', 'T1203', 'T1036.004', 'T1078.003', 'T1583.006', 'T1550.003', 'T1562.001', 'T1048.002', 'T1098.001', 'T1001.002', 'T1018', 'T1059.003', 'T1087', 'T1547.009', 'T1082', 'T1069.002', 'T1195.002', 'T1059.001', 'T1562.002', 'T1021.002', 'T1078.002', 'T1069', 'T1586.002', 'T1016.001', 'T1027.001'"
12,"'T1068', 'T1005', 'T1588.002', 'T1553.006', 'T1112', 'T1120', 'T1102', 'T1555.004', 'T1587.001', 'T1055.001', 'T1025', 'T1546.013', 'T1090.001', 'T1584.006', 'T1082', 'T1057', 'T1007', 'T1016.001', 'T1567.002', 'T1562.001', 'T1027.005', 'T1201', 'T1059.005', 'T1102.002', 'T1105', 'T1059.006', 'T1078.003', 'T1071.003', 'T1134.002', 'T1213', 'T1560.001', 'T1570', 'T1071.001', 'T1059.003', 'T1566.002', 'T1087.001', 'T1069.002', 'T1583.006', 'T1189', 'T1049', 'T1012', 'T1055', 'T1588.001', 'T1204.001', 'T1018', 'T1059.001', 'T1546.003', 'T1140', 'T1059.007', 'T1087.002', 'T1547.001', 'T1584.004', 'T1518.001', 'T1027', 'T1124', 'T1584.003', 'T1110', 'T1021.002', 'T1090', 'T1615', 'T1083', 'T1069.001', 'T1016', 'T1106', 'T1547.004'"
13,"'T1090', 'T1033', 'T1561.002', 'T1005', 'T1087.003', 'T1018', 'T1588.006', 'T1070.004', 'T1056.001', 'T1491.002', 'T1133', 'T1584.005', 'T1040', 'T1499', 'T1041', 'T1195.002', 'T1218.011', 'T1589.002', 'T1047', 'T1485', 'T1110.003', 'T1571', 'T1588.002', 'T1071.001', 'T1082', 'T1059.005', 'T1583.004', 'T1585.002', 'T1566.002', 'T1199', 'T1203', 'T1594', 'T1583.001', 'T1591.002', 'T1555.003', 'T1585.001', 'T1566.001', 'T1083', 'T1078', 'T1204.002', 'T1598.003', 'T1078.002', 'T1505.003', 'T1570', 'T1059.001', 'T1589.003', 'T1049', 'T1021.002', 'T1059.003', 'T1036.005', 'T1590.001', 'T1592.002', 'T1204.001', 'T1593', 'T1027.002', 'T1003.001', 'T1587.001', 'T1016', 'T1132.001', 'T1562.002', 'T1595.002', 'T1505.001', 'T1098', 'T1027', 'T1102.002', 'T1140', 'T1087.002', 'T1219', 'T1136.002', 'T1105', 'T1136'"
14,"'T1133', 'T1078', 'T1070.006', 'T1059.001', 'T1119', 'T1036.005', 'T1106', 'T1057', 'T1071.004', 'T1071.001', 'T1053.005', 'T1111', 'T1589.001', 'T1046', 'T1560.001', 'T1114.002', 'T1110.003', 'T1570', 'T1567.002', 'T1078.002', 'T1556.001', 'T1082', 'T1087.001', 'T1021.001', 'T1135', 'T1213.002', 'T1572', 'T1016', 'T1012', 'T1550.002', 'T1070.001', 'T1110.004', 'T1070.004', 'T1083', 'T1041', 'T1039', 'T1217', 'T1114.001', 'T1059.003', 'T1047', 'T1069.001', 'T1087.002', 'T1007', 'T1003.003', 'T1049', 'T1021.006', 'T1588.002', 'T1201', 'T1574.002', 'T1074.001', 'T1124', 'T1074.002', 'T1021.002', 'T1482', 'T1033', 'T1018', 'T1569.002', 'T1105', 'T1027'"
15,"'T1046', 'T1074.001', 'T1049', 'T1105', 'T1588.002', 'T1027', 'T1190', 'T1095', 'T1055.001', 'T1588.001', 'T1574.001', 'T1120', 'T1036.004', 'T1505.003', 'T1036.005'"
16,"'T1547.001', 'T1105', 'T1036', 'T1566.001', 'T1518.001', 'T1189', 'T1204.002', 'T1047', 'T1566.002', 'T1036.001', 'T1027', 'T1518', 'T1082', 'T1059.005', 'T1204.001', 'T1566.003', 'T1071.001', 'T1057', 'T1033'"
17,"'T1056.002', 'T1056.001', 'T1114.002', 'T1566.002', 'T1071.001', 'T1090.003', 'T1564.008', 'T1204.001', 'T1059.005', 'T1078', 'T1204.002', 'T1566.001'"
18,"'T1059.003', 'T1082', 'T1057', 'T1105', 'T1189', 'T1033', 'T1529', 'T1083', 'T1569.002', 'T1565.001', 'T1565.003', 'T1070.006', 'T1561.002', 'T1485', 'T1070.004', 'T1106', 'T1204.002', 'T1518.001', 'T1059.001', 'T1566.001', 'T1135', 'T1562.003', 'T1049', 'T1588.002', 'T1486', 'T1005', 'T1070.001', 'T1053.003', 'T1056.001', 'T1115', 'T1071.001', 'T1217', 'T1218.001', 'T1565.002', 'T1053.005', 'T1562.004', 'T1110', 'T1505.003', 'T1543.003', 'T1027.002', 'T1059.005', 'T1112', 'T1218.011'"
19,"'T1080', 'T1518.001', 'T1189', 'T1497.002', 'T1082', 'T1553.002', 'T1105', 'T1016', 'T1566.001', 'T1204.002', 'T1057', 'T1140', 'T1083', 'T1027', 'T1056.001', 'T1497', 'T1497.001', 'T1036.005', 'T1573.001', 'T1091', 'T1124', 'T1203', 'T1059.003', 'T1547.001', 'T1547.009'"
