,TTPs
51,"'T1070.004', 'T1053.003', 'T1046', 'T1543.002', 'T1562.001', 'T1071', 'T1037', 'T1059.006', 'T1027.002', 'T1071.001', 'T1547.001', 'T1057', 'T1018', 'T1027', 'T1105', 'T1070.002', 'T1059.004', 'T1222.002', 'T1055.002', 'T1102', 'T1027.004', 'T1082', 'T1552.004', 'T1014', 'T1574.006', 'T1070.006', 'T1140', 'T1564.001', 'T1190', 'T1102.001', 'T1496', 'T1036.005', 'T1571', 'T1021.004', 'T1562.004', 'T1518.001'"
52,"'T1036.003', 'T1059', 'T1569.002', 'T1056.001', 'T1105', 'T1550.003', 'T1216.001', 'T1589', 'T1027', 'T1065', 'T1608.004', 'T1598.003', 'T1036.005', 'T1087.001', 'T1564.003', 'T1583.001', 'T1049', 'T1585.001', 'T1571', 'T1543.003', 'T1589.002', 'T1218.011', 'T1583.006', 'T1070.004', 'T1570', 'T1218.005', 'T1059.001', 'T1021.002', 'T1059.003', 'T1018', 'T1564.001', 'T1094', 'T1059.007', 'T1189', 'T1046', 'T1016', 'T1222.002', 'T1070.006', 'T1588.002', 'T1204.001', 'T1564.004', 'T1112', 'T1072', 'T1068', 'T1135', 'T1071.001', 'T1550.002', 'T1003.001', 'T1204.002', 'T1574.002', 'T1078.003', 'T1033', 'T1082', 'T1547.001', 'T1552.002', 'T1102', 'T1047', 'T1053.005', 'T1048.003', 'T1560', 'T1036.004', 'T1566.002', 'T1027.001', 'T1137', 'T1059.005', 'T1083', 'T1566.001', 'T1505.003', 'T1071.003', 'T1003', 'T1070.001', 'T1036', 'T1218.010', 'T1041', 'T1055', 'T1012', 'T1203', 'T1608.001'"
53,"'T1069.001', 'T1036.005', 'T1203', 'T1082', 'T1566.001', 'T1049', 'T1016', 'T1083', 'T1007', 'T1087.001', 'T1204.002', 'T1059.003'"
54,"'T1047', 'T1078', 'T1204.001', 'T1486', 'T1204.002', 'T1547.001', 'T1567.002', 'T1091', 'T1036.004', 'T1587.001', 'T1021.001', 'T1210', 'T1102.002', 'T1218.005', 'T1566.001', 'T1125', 'T1571', 'T1027', 'T1071.004', 'T1559.002', 'T1008', 'T1059.005', 'T1497.002', 'T1005', 'T1558.003', 'T1059.007', 'T1546.011', 'T1566.002', 'T1553.002', 'T1543.003', 'T1059', 'T1036.005', 'T1053.005', 'T1059.003', 'T1021.004', 'T1113', 'T1583.001', 'T1059.001', 'T1021.005', 'T1105'"
55,'T1032'
56,"'T1078', 'T1069.002', 'T1070.004', 'T1210', 'T1591.002', 'T1105', 'T1584.004', 'T1110', 'T1074.001', 'T1598.003', 'T1566.001', 'T1033', 'T1071', 'T1136.001', 'T1547.001', 'T1135', 'T1187', 'T1018', 'T1016', 'T1113', 'T1059.001', 'T1190', 'T1098', 'T1583.001', 'T1059.006', 'T1189', 'T1003.003', 'T1070.001', 'T1110.002', 'T1003.002', 'T1005', 'T1036', 'T1608.004', 'T1087.002', 'T1564.002', 'T1588.002', 'T1562.004', 'T1598.002', 'T1053.005', 'T1560', 'T1505.003', 'T1583.003', 'T1195.002', 'T1059', 'T1595.002', 'T1221', 'T1012', 'T1003.004', 'T1083', 'T1204.002', 'T1133', 'T1114.002', 'T1021.001', 'T1059.003', 'T1547.009', 'T1112', 'T1203'"
57,"'T1135', 'T1114.002', 'T1057', 'T1588.002', 'T1059.003', 'T1003.001', 'T1016', 'T1560.001', 'T1036.005', 'T1584.001', 'T1566.002', 'T1550.002', 'T1588.001', 'T1114.001', 'T1021.001', 'T1583.001', 'T1585.002', 'T1007', 'T1087.001', 'T1005', 'T1119', 'T1566.001', 'T1049'"
58,"'T1560', 'T1583.006', 'T1211', 'T1498', 'T1037.001', 'T1102.002', 'T1583.001', 'T1573.001', 'T1566.001', 'T1547.001', 'T1564.003', 'T1083', 'T1040', 'T1589.001', 'T1204.002', 'T1070.004', 'T1078.004', 'T1528', 'T1550.002', 'T1567', 'T1057', 'T1048.002', 'T1036.005', 'T1110', 'T1133', 'T1090.003', 'T1213', 'T1586.002', 'T1056.001', 'T1120', 'T1566.002', 'T1560.001', 'T1074.001', 'T1071.003', 'T1221', 'T1090.002', 'T1546.015', 'T1598', 'T1598.003', 'T1021.002', 'T1070.006', 'T1189', 'T1140', 'T1071.001', 'T1003.001', 'T1014', 'T1199', 'T1098.002', 'T1595.002', 'T1092', 'T1003', 'T1559.002', 'T1003.003', 'T1043', 'T1137.002', 'T1005', 'T1203', 'T1190', 'T1110.003', 'T1078', 'T1119', 'T1001.001', 'T1210', 'T1505.003', 'T1059.001', 'T1564.001', 'T1105', 'T1542.003', 'T1070.001', 'T1218.011', 'T1025', 'T1068', 'T1134.001', 'T1110.001', 'T1074.002', 'T1027', 'T1550.001', 'T1059.003', 'T1039', 'T1114.002', 'T1588.002', 'T1204.001', 'T1213.002', 'T1091', 'T1030', 'T1113', 'T1036'"
59,"'T1547.001', 'T1205.001', 'T1543.003', 'T1078.003', 'T1204.002', 'T1587.002', 'T1036.004', 'T1587.003', 'T1189', 'T1036.005', 'T1553.002'"
60,"'T1124', 'T1059.003', 'T1071.001', 'T1550.003', 'T1102.001', 'T1027.001', 'T1189', 'T1053.002', 'T1036.005', 'T1548.002', 'T1588.002', 'T1039', 'T1574.002', 'T1005', 'T1562.001', 'T1018', 'T1204.002', 'T1080', 'T1036', 'T1083', 'T1059.005', 'T1070.004', 'T1573.001', 'T1003.001', 'T1105', 'T1560.001', 'T1203', 'T1140', 'T1547.001', 'T1007', 'T1059.006', 'T1059.001', 'T1132.001', 'T1087.002', 'T1027.003', 'T1518', 'T1113', 'T1566.001', 'T1053.005', 'T1036.002'"
61,"'T1059.003', 'T1082', 'T1204.001', 'T1016', 'T1547.001', 'T1036', 'T1218.007', 'T1566.002', 'T1598', 'T1059.006', 'T1033', 'T1027.002', 'T1068', 'T1583.001', 'T1102.002', 'T1012', 'T1041', 'T1140', 'T1124', 'T1583.006', 'T1567.002', 'T1036.004', 'T1105', 'T1573.001', 'T1555.003'"
62,"'T1583.006', 'T1588.002', 'T1586.002', 'T1204.002', 'T1105', 'T1566.001', 'T1583.001'"
63,"'T1090.002', 'T1003', 'T1203', 'T1068', 'T1135', 'T1210', 'T1566.001', 'T1105', 'T1574.001', 'T1505.003', 'T1059.001', 'T1069.001', 'T1056.001', 'T1204.002', 'T1059.006'"
64,"'T1583.003', 'T1003.003', 'T1003.001', 'T1567.002', 'T1059.001', 'T1589.002', 'T1114.002', 'T1095', 'T1136.002', 'T1592.004', 'T1560.001', 'T1583.006', 'T1071.001', 'T1218.011', 'T1078.003', 'T1105', 'T1590.005', 'T1590', 'T1190', 'T1505.003', 'T1132.001'"
65,"'T1564.003', 'T1059.001', 'T1027.005', 'T1546.008', 'T1021.002', 'T1505.003', 'T1047', 'T1018', 'T1218.010', 'T1057'"
66,"'T1110.003', 'T1555', 'T1027', 'T1018', 'T1114.002', 'T1059.007', 'T1189', 'T1003.001', 'T1555.003', 'T1046', 'T1588.002', 'T1083', 'T1003.004', 'T1552.001', 'T1136.001', 'T1055.013', 'T1003.005'"
67,"'T1574.001', 'T1497.001', 'T1566.002', 'T1555', 'T1105', 'T1219', 'T1539', 'T1548.002', 'T1070.004', 'T1204.001', 'T1059.007'"
68,"'T1218.005', 'T1059.005', 'T1559.001', 'T1025', 'T1020', 'T1082', 'T1070.004', 'T1566.001', 'T1027.001', 'T1112', 'T1140', 'T1021.005', 'T1534', 'T1106', 'T1041', 'T1036.005', 'T1016.001', 'T1005', 'T1137', 'T1491.001', 'T1113', 'T1027', 'T1059.003', 'T1547.001', 'T1204.002', 'T1119', 'T1562.001', 'T1027.004', 'T1080', 'T1053.005', 'T1039', 'T1059.001', 'T1083', 'T1120', 'T1105', 'T1033', 'T1218.011', 'T1102', 'T1583.001', 'T1071.001', 'T1564.003', 'T1608.001', 'T1568', 'T1047', 'T1221', 'T1485', 'T1057'"
69,"'T1059.007', 'T1059.003', 'T1583.001', 'T1036', 'T1102', 'T1204.001', 'T1027', 'T1204.002', 'T1059.001', 'T1105', 'T1071.004', 'T1566.001', 'T1608.001', 'T1218.005', 'T1547.001', 'T1218.011', 'T1588.001', 'T1566.002', 'T1059.005', 'T1583.006'"
70,"'T1055.001', 'T1562.001', 'T1027', 'T1547.001'"
71,"'T1574.001', 'T1189', 'T1566.001', 'T1547.001', 'T1102.001', 'T1204.002', 'T1219'"
72,"'T1218.007', 'T1036.005', 'T1204.002', 'T1059.006', 'T1566.002', 'T1032', 'T1566.001', 'T1053.005', 'T1189', 'T1204.001', 'T1059.003', 'T1059.005'"
73,"'T1039', 'T1560.001', 'T1135', 'T1082', 'T1083', 'T1056.001', 'T1003', 'T1059.003', 'T1036.005'"
74,"'T1553.002', 'T1570', 'T1036.003', 'T1053.005', 'T1027.002', 'T1033', 'T1041', 'T1059.003', 'T1049', 'T1505.003', 'T1027.005', 'T1588.002', 'T1078', 'T1105', 'T1583.004', 'T1059.001', 'T1003.002', 'T1074.001', 'T1016', 'T1133', 'T1560.001', 'T1190', 'T1027', 'T1003.001', 'T1005', 'T1018', 'T1136.002', 'T1550.002', 'T1574.002', 'T1090.002', 'T1047'"
75,"'T1187', 'T1059.001', 'T1588.002', 'T1564.003', 'T1566.001', 'T1204.002', 'T1221'"
76,"'T1569.002', 'T1110', 'T1135', 'T1059', 'T1560.001', 'T1140', 'T1115', 'T1021.004', 'T1113', 'T1003', 'T1021.002', 'T1553.006', 'T1018', 'T1059.001', 'T1078', 'T1027.002', 'T1059.005', 'T1046', 'T1566.001', 'T1566.002', 'T1546.010', 'T1021.001', 'T1071.001', 'T1090.001', 'T1083', 'T1033', 'T1136.001', 'T1204.001', 'T1053.005', 'T1204.002', 'T1005', 'T1090.002', 'T1071.004', 'T1056.001', 'T1056', 'T1003.001', 'T1197', 'T1547.001', 'T1505.003', 'T1102.002', 'T1059.006', 'T1555', 'T1036.005', 'T1588.002', 'T1027', 'T1547.009', 'T1012', 'T1070.004', 'T1105', 'T1190', 'T1074.001', 'T1041'"
77,"'T1204.002', 'T1590.005', 'T1057', 'T1588.001', 'T1566.001', 'T1203', 'T1189', 'T1005', 'T1105', 'T1027.003', 'T1592.002', 'T1049'"
78,"'T1555.003', 'T1059', 'T1102.002', 'T1106', 'T1203', 'T1059.005', 'T1027', 'T1043', 'T1005', 'T1036.001', 'T1055', 'T1123', 'T1548.002', 'T1059.006', 'T1057', 'T1053.005', 'T1071.001', 'T1561.002', 'T1120', 'T1105', 'T1094', 'T1027.003', 'T1529', 'T1566.001', 'T1547.001', 'T1559.002', 'T1082', 'T1204.002', 'T1033', 'T1189', 'T1059.003'"
79,"'T1204.001', 'T1134.001', 'T1546.003', 'T1070.004', 'T1078', 'T1518.001', 'T1043', 'T1047', 'T1560.001', 'T1102', 'T1059.003', 'T1059.001', 'T1068', 'T1566.002', 'T1018', 'T1074.002', 'T1482', 'T1566.001', 'T1027', 'T1070.001', 'T1003.001', 'T1021.002', 'T1053.005', 'T1071.001', 'T1105', 'T1021.001', 'T1112', 'T1204.002', 'T1055.004', 'T1573.002', 'T1048.003'"
80,"'T1585', 'T1583.006'"
81,"'T1059.003', 'T1595.002', 'T1574.001', 'T1059.001', 'T1518.001', 'T1588.002', 'T1003.001', 'T1105', 'T1027', 'T1007', 'T1082', 'T1560.001', 'T1070.004', 'T1588.001', 'T1562.001'"
82,"'T1598.003', 'T1594', 'T1583.001', 'T1585.002', 'T1608.005', 'T1114.003', 'T1588.004', 'T1589.002', 'T1110.003', 'T1114', 'T1078', 'T1589.003', 'T1588.002'"
83,"'T1486', 'T1136', 'T1562.001', 'T1074.001', 'T1489', 'T1078.002', 'T1105', 'T1059.001', 'T1204.002', 'T1059.007', 'T1070.001', 'T1018', 'T1484.001', 'T1584.004', 'T1036.005', 'T1047', 'T1007', 'T1059.003', 'T1003.001'"
84,"'T1059.005', 'T1566.001', 'T1204.002', 'T1588.002', 'T1027', 'T1105', 'T1036.004', 'T1571', 'T1053.005'"
85,"'T1583.001', 'T1083', 'T1105', 'T1057', 'T1553.002', 'T1014'"
86,"'T1564.003', 'T1566.001', 'T1059.003', 'T1204.002', 'T1059.001', 'T1036', 'T1105'"
87,"'T1105', 'T1564.003', 'T1566.001', 'T1055.002', 'T1140', 'T1588.002', 'T1547.009', 'T1055.012', 'T1547.001', 'T1112', 'T1204.002', 'T1106', 'T1562.001', 'T1059.003', 'T1065', 'T1059.005', 'T1059.001'"
88,"'T1105', 'T1204.002', 'T1056.001', 'T1095', 'T1068', 'T1189', 'T1566.001', 'T1055', 'T1036', 'T1003.001', 'T1094', 'T1056.004'"
89,"'T1059.003', 'T1046', 'T1078', 'T1553.002', 'T1003'"
90,"'T1071.001', 'T1589.002', 'T1132.001', 'T1036', 'T1218.011', 'T1105', 'T1059.003', 'T1218.010', 'T1568.002', 'T1218.005', 'T1566.001', 'T1027', 'T1204.002', 'T1027.003'"
91,"'T1203', 'T1005', 'T1001.002', 'T1553', 'T1190', 'T1583.002', 'T1078', 'T1021.001', 'T1583.003', 'T1563.002', 'T1189', 'T1546.008', 'T1566', 'T1003', 'T1560', 'T1584.005'"
92,"'T1543.003', 'T1569.002', 'T1112', 'T1547.001', 'T1005', 'T1057', 'T1083', 'T1027', 'T1560', 'T1071.002', 'T1074.001', 'T1546.009', 'T1055', 'T1553.002', 'T1020', 'T1059.005', 'T1059.003', 'T1082', 'T1140', 'T1070.004', 'T1548.002'"
93,"'T1078', 'T1218.011', 'T1036.004', 'T1543.003', 'T1562.004', 'T1102.002', 'T1219', 'T1036.005', 'T1588.002'"
94,"'T1588.002', 'T1078'"
95,"'T1588.002', 'T1053.005', 'T1572', 'T1046', 'T1090.003'"
96,"'T1048.003', 'T1059.001', 'T1588.002', 'T1219'"
97,"'T1555.003', 'T1566.003', 'T1204.002', 'T1105', 'T1566.001', 'T1056.001'"
98,"'T1071.001', 'T1021.002'"
99,
100,"'T1204.001', 'T1566.002', 'T1204.002', 'T1027', 'T1566.001'"
101,"'T1204.002', 'T1059.005', 'T1566.001', 'T1059.001', 'T1203'"
102,"'T1078', 'T1133', 'T1588.002', 'T1090.002', 'T1110', 'T1070.004', 'T1074.001', 'T1119', 'T1059', 'T1070.001', 'T1018'"
103,"'T1059.001', 'T1078', 'T1033', 'T1588.002', 'T1059.003', 'T1053.005', 'T1547.001', 'T1078.003', 'T1070.004', 'T1021.001', 'T1570'"
104,"'T1505.003', 'T1083', 'T1003.001', 'T1585', 'T1552.001', 'T1021.002', 'T1003.003', 'T1027', 'T1059', 'T1078', 'T1213', 'T1110', 'T1210', 'T1087.001', 'T1555.005', 'T1021.004', 'T1105', 'T1572', 'T1059.003', 'T1036.004', 'T1546.008', 'T1021.001', 'T1087.002', 'T1021.005', 'T1560.001', 'T1018', 'T1102', 'T1005', 'T1530', 'T1012', 'T1059.001', 'T1090', 'T1046', 'T1190', 'T1053.005', 'T1036.005', 'T1217', 'T1039', 'T1585.001', 'T1136.001'"
105,"'T1005', 'T1027', 'T1083'"
106,"'T1087.002', 'T1059.001', 'T1057', 'T1007', 'T1049', 'T1003', 'T1036.005', 'T1087.001'"
107,"'T1588.002', 'T1564.003', 'T1560.001', 'T1218.011', 'T1059.001', 'T1553.002', 'T1560.003'"
108,"'T1204.002', 'T1071.001', 'T1218.007', 'T1566.001', 'T1053.005', 'T1105', 'T1059.003', 'T1059.005'"
109,'T1584.004'
110,"'T1204.002', 'T1566.001'"
111,"'T1027', 'T1195.002', 'T1219', 'T1566', 'T1133', 'T1199', 'T1190', 'T1113', 'T1059.001'"
112,"'T1105', 'T1505.003', 'T1595.002', 'T1190', 'T1595.003'"
113,"'T1065', 'T1070.004', 'T1056.001', 'T1027', 'T1113'"
114,"'T1204.002', 'T1559.002', 'T1027', 'T1560.001', 'T1566.001', 'T1059.001'"
115,
116,"'T1556.002', 'T1090.001', 'T1564.005'"
117,'T1027.001'
118,'T1036.002'
119,
120,'T1027'
121,
122,
123,
124,"'T1562.001', 'T1046'"
125,"'T1210', 'T1105', 'T1005', 'T1112', 'T1055.012', 'T1087.003', 'T1021.005', 'T1497.003', 'T1036', 'T1542.003', 'T1553.002', 'T1041', 'T1007', 'T1495', 'T1559.001', 'T1566.002', 'T1110.004', 'T1106', 'T1082', 'T1008', 'T1069', 'T1562.001', 'T1059.001', 'T1135', 'T1033', 'T1132.001', 'T1083', 'T1065', 'T1016', 'T1018', 'T1071.001', 'T1185', 'T1219', 'T1555.005', 'T1055', 'T1552.001', 'T1204.002', 'T1555.003', 'T1056.004', 'T1027', 'T1057', 'T1543.003', 'T1571', 'T1087.001', 'T1090.002', 'T1059.003', 'T1482', 'T1140', 'T1566.001', 'T1053.005', 'T1027.002', 'T1552.002', 'T1547.001', 'T1573.001'"
126,"'T1124', 'T1485', 'T1082', 'T1010', 'T1564.004', 'T1027.003', 'T1218.011', 'T1105', 'T1547.001', 'T1033', 'T1057', 'T1083', 'T1059.003', 'T1016', 'T1070.004'"
127,"'T1016', 'T1489', 'T1562.001', 'T1486', 'T1490', 'T1027', 'T1036.005', 'T1047', 'T1057'"
128,"'T1573.001', 'T1036.005', 'T1218.011', 'T1204.002', 'T1005', 'T1082', 'T1105', 'T1083', 'T1566.001', 'T1027.002', 'T1129', 'T1059.003', 'T1027', 'T1016', 'T1132.001', 'T1041', 'T1071.001', 'T1070.004', 'T1070.006', 'T1140', 'T1553.002'"
129,"'T1105', 'T1055', 'T1543.003', 'T1059.003'"
130,"'T1070.004', 'T1113', 'T1036', 'T1057', 'T1112', 'T1033', 'T1548.002', 'T1573', 'T1071.001', 'T1005', 'T1105', 'T1055.012', 'T1218.007', 'T1106', 'T1574.002', 'T1095', 'T1547.001', 'T1082', 'T1056.001', 'T1059.003', 'T1027'"
131,"'T1614.001', 'T1071.001', 'T1497.002', 'T1140', 'T1041', 'T1132.001', 'T1027.002', 'T1033', 'T1059.003', 'T1082'"
132,"'T1083', 'T1005', 'T1120', 'T1113', 'T1071.001', 'T1105', 'T1016.001', 'T1135', 'T1564.003'"
133,"'T1497.001', 'T1082', 'T1033', 'T1486', 'T1012', 'T1112', 'T1083', 'T1007', 'T1057', 'T1614.001', 'T1106', 'T1070.001', 'T1055.013', 'T1027'"
134,"'T1132.001', 'T1566.001', 'T1497', 'T1059.003', 'T1497.001', 'T1082', 'T1548.002', 'T1053.005', 'T1204.002', 'T1560', 'T1008', 'T1204.001', 'T1057', 'T1106', 'T1573.001', 'T1005', 'T1027', 'T1047', 'T1218.008', 'T1041', 'T1140', 'T1559.001', 'T1033', 'T1059.001', 'T1129', 'T1497.003', 'T1012', 'T1566.002', 'T1055', 'T1059.005', 'T1218.011', 'T1105', 'T1102', 'T1055.004', 'T1070.004', 'T1036.005', 'T1622', 'T1055.001', 'T1518.001'"
135,"'T1082', 'T1070.004', 'T1046', 'T1059.003', 'T1053.002', 'T1087.001', 'T1018', 'T1135', 'T1069'"
136,"'T1059.007', 'T1113', 'T1069.002', 'T1547.001', 'T1059.001', 'T1124', 'T1053.005', 'T1082'"
137,"'T1560', 'T1059.003', 'T1112', 'T1543.003', 'T1074.001', 'T1036.004', 'T1059.005'"
138,"'T1112', 'T1071.001', 'T1083', 'T1005', 'T1140', 'T1553.005', 'T1033', 'T1105', 'T1106', 'T1547.001', 'T1518.001', 'T1041', 'T1027', 'T1568.001', 'T1614', 'T1082', 'T1016'"
139,"'T1070.004', 'T1056.004', 'T1106'"
140,"'T1016', 'T1070.004', 'T1569.002', 'T1119', 'T1005', 'T1071.001', 'T1041', 'T1124', 'T1057', 'T1012', 'T1059.003', 'T1082', 'T1485', 'T1083'"
141,"'T1057', 'T1102.002', 'T1027', 'T1059.003', 'T1016', 'T1105', 'T1082', 'T1218.010', 'T1112', 'T1518', 'T1070', 'T1083', 'T1055.012'"
142,"'T1106', 'T1071.001', 'T1027.002', 'T1027', 'T1573.001', 'T1049', 'T1041', 'T1124', 'T1082', 'T1016', 'T1132.001', 'T1140', 'T1480'"
143,"'T1082', 'T1056.004', 'T1036.005', 'T1027', 'T1033', 'T1070.004', 'T1074.001', 'T1140', 'T1071.002', 'T1071.001', 'T1124', 'T1218.011', 'T1016', 'T1547.001', 'T1105'"
144,"'T1027.001', 'T1102.002', 'T1033', 'T1056.001', 'T1113', 'T1018', 'T1057', 'T1016', 'T1497.001', 'T1027.002', 'T1082', 'T1053.005', 'T1083', 'T1005'"
145,"'T1218.011', 'T1087.003', 'T1046', 'T1016', 'T1547.001', 'T1057', 'T1055', 'T1070.004', 'T1083', 'T1105', 'T1033', 'T1082', 'T1018', 'T1555.003', 'T1132.001', 'T1560'"
146,"'T1113', 'T1105', 'T1102.002', 'T1027', 'T1056.001', 'T1123'"
147,"'T1012', 'T1106', 'T1553.002', 'T1080', 'T1087.001', 'T1083', 'T1090.001', 'T1560.003', 'T1078.001', 'T1480', 'T1070.004', 'T1210', 'T1008', 'T1021', 'T1055.001', 'T1124', 'T1041', 'T1134.001', 'T1112', 'T1071.001', 'T1016', 'T1570', 'T1053.005', 'T1518.001', 'T1140', 'T1135', 'T1078.002', 'T1070', 'T1068', 'T1047', 'T1087.002', 'T1120', 'T1021.002', 'T1132.001', 'T1543.003', 'T1014', 'T1091', 'T1129', 'T1082', 'T1070.006', 'T1027', 'T1573.001', 'T1505.001', 'T1562'"
148,"'T1548.002', 'T1574.001', 'T1105', 'T1001.001', 'T1573.001'"
149,"'T1105', 'T1505.003', 'T1059.003', 'T1070.006'"
150,"'T1055.001', 'T1057', 'T1059', 'T1033', 'T1082', 'T1071.001'"
151,"'T1082', 'T1069.002', 'T1083', 'T1105', 'T1069.001', 'T1059.003', 'T1047', 'T1012', 'T1016', 'T1071.004', 'T1071.001', 'T1059.001', 'T1057', 'T1087.002', 'T1049', 'T1033', 'T1053.005', 'T1132.001', 'T1113', 'T1518.001'"
152,"'T1486', 'T1059.003', 'T1489', 'T1070.005', 'T1562.001', 'T1490'"
153,'T1055.011'
154,"'T1543.003', 'T1070.004', 'T1059.003', 'T1105', 'T1070.006'"
155,"'T1036.005', 'T1027', 'T1140', 'T1547.001', 'T1574.002'"
156,"'T1113', 'T1614.001', 'T1547.001', 'T1082', 'T1059.001', 'T1059.003', 'T1140', 'T1047', 'T1105', 'T1053.005', 'T1102'"
157,"'T1053.005', 'T1555.003', 'T1055', 'T1140', 'T1105', 'T1059.005', 'T1027', 'T1497.001', 'T1114.001', 'T1552.001', 'T1083', 'T1547.001', 'T1071.001', 'T1055.012'"
158,"'T1070.004', 'T1082', 'T1113', 'T1059.001', 'T1047', 'T1057'"
159,"'T1036.001', 'T1036', 'T1119', 'T1106', 'T1564.003', 'T1071.001', 'T1124', 'T1140', 'T1083', 'T1560.001', 'T1070.004', 'T1059.004', 'T1027', 'T1048.003'"
160,"'T1070.004', 'T1070.006', 'T1036.005', 'T1027.002', 'T1132.001', 'T1094', 'T1082', 'T1083', 'T1614.001', 'T1005', 'T1105', 'T1041', 'T1095', 'T1547', 'T1106', 'T1070.009', 'T1059.003'"
161,'T1572'
162,"'T1078', 'T1033', 'T1110.003', 'T1132', 'T1546.004', 'T1133'"
163,"'T1059.003', 'T1573.002', 'T1546.003'"
164,"'T1007', 'T1547.001', 'T1027', 'T1218.011', 'T1615', 'T1573.001', 'T1071.001', 'T1105', 'T1055.001', 'T1082', 'T1069.001', 'T1543.003', 'T1059.003', 'T1016', 'T1027.001'"
165,"'T1033', 'T1543.002', 'T1053.003', 'T1548.001', 'T1071.001', 'T1027', 'T1105', 'T1059.004', 'T1543', 'T1140', 'T1008', 'T1070.004'"
166,"'T1057', 'T1082', 'T1059.003', 'T1105', 'T1112', 'T1070.004', 'T1083', 'T1573.001', 'T1113', 'T1016'"
167,"'T1082', 'T1095', 'T1071.001'"
168,"'T1560.003', 'T1033', 'T1070.004', 'T1027', 'T1559.002', 'T1041', 'T1106', 'T1082', 'T1071.001', 'T1203', 'T1059.003'"
169,"'T1105', 'T1027', 'T1055.001', 'T1140', 'T1059.001'"
170,"'T1007', 'T1005', 'T1080', 'T1070.004', 'T1185', 'T1132', 'T1090', 'T1559.001', 'T1074.001', 'T1055.005', 'T1071.001', 'T1041', 'T1113', 'T1140', 'T1112', 'T1059.005', 'T1091', 'T1106', 'T1543.003', 'T1497.003', 'T1105', 'T1564.003', 'T1027', 'T1090.003', 'T1012', 'T1055.012', 'T1047', 'T1568.002', 'T1036.005', 'T1547.001', 'T1082', 'T1059.001', 'T1057', 'T1094', 'T1056.004'"
171,"'T1140', 'T1082', 'T1543.003', 'T1083', 'T1105', 'T1005', 'T1204.002', 'T1112', 'T1547.001', 'T1036.005', 'T1566.001', 'T1027'"
172,"'T1113', 'T1071.001', 'T1083', 'T1560.002', 'T1059.003', 'T1543.003', 'T1082', 'T1007', 'T1036.005', 'T1041', 'T1105'"
173,"'T1547.009', 'T1027', 'T1574.001', 'T1555.003', 'T1071.001', 'T1033', 'T1094', 'T1049', 'T1105', 'T1113', 'T1082', 'T1016', 'T1070.004', 'T1059.003', 'T1065', 'T1573.001', 'T1571', 'T1083', 'T1547.001'"
174,'T1080'
175,"'T1547.001', 'T1564.004', 'T1105', 'T1012', 'T1059.001', 'T1071.004'"
176,"'T1518.001', 'T1573.001', 'T1105', 'T1071.001', 'T1033', 'T1082', 'T1016', 'T1036.005', 'T1059.003', 'T1132.001'"
177,"'T1614.001', 'T1105', 'T1012', 'T1112', 'T1070.004', 'T1027', 'T1083', 'T1071.001', 'T1059.003', 'T1056.001', 'T1115', 'T1124', 'T1082', 'T1056.004', 'T1547.001', 'T1059.001', 'T1140', 'T1057', 'T1059', 'T1113', 'T1518.001', 'T1055.002'"
178,"'T1057', 'T1007', 'T1016', 'T1087.001', 'T1071.001', 'T1083'"
179,"'T1105', 'T1082', 'T1059.003', 'T1027', 'T1070.004'"
180,"'T1059', 'T1056.001', 'T1547.001', 'T1071.004', 'T1218.011', 'T1053.005', 'T1555', 'T1113', 'T1027', 'T1055.001'"
181,"'T1057', 'T1005', 'T1048', 'T1560.003', 'T1074.001'"
182,"'T1059.003', 'T1053.005', 'T1083', 'T1571', 'T1025', 'T1559.002', 'T1027.005', 'T1033', 'T1005', 'T1082', 'T1497.001', 'T1016', 'T1065', 'T1007', 'T1057', 'T1047', 'T1071.001', 'T1124', 'T1027', 'T1049'"
183,"'T1574.001', 'T1059.003', 'T1105'"
184,"'T1087.001', 'T1106', 'T1065', 'T1105', 'T1070.006', 'T1543.003', 'T1119', 'T1571', 'T1112', 'T1134.002', 'T1005', 'T1001.003', 'T1057', 'T1203', 'T1070.004', 'T1132.002', 'T1071.001', 'T1083', 'T1070', 'T1087.002', 'T1041', 'T1059.003', 'T1012', 'T1140', 'T1082'"
185,"'T1571', 'T1057', 'T1560.003', 'T1016', 'T1569.002', 'T1518.001', 'T1119', 'T1036.004', 'T1027', 'T1204.002', 'T1573.002', 'T1090.003', 'T1083', 'T1070.004', 'T1105', 'T1059.001', 'T1543.003', 'T1564.003', 'T1553.002', 'T1041', 'T1071.001', 'T1036.005', 'T1020', 'T1547.001', 'T1082', 'T1562.001'"
186,"'T1082', 'T1033', 'T1105'"
187,"'T1573.001', 'T1016', 'T1105', 'T1518.001', 'T1547', 'T1059.003', 'T1132.001', 'T1140', 'T1071.001', 'T1005', 'T1106'"
188,"'T1112', 'T1547.001', 'T1082', 'T1059.003', 'T1573.001', 'T1016', 'T1105', 'T1094', 'T1057', 'T1548.002'"
189,"'T1036.005', 'T1204.002', 'T1059.003', 'T1204.001', 'T1106', 'T1087.001', 'T1027', 'T1566.002', 'T1071.001', 'T1105', 'T1082', 'T1566.001', 'T1070.004', 'T1497.003', 'T1110.001'"
190,"'T1057', 'T1033', 'T1071.001', 'T1082', 'T1008', 'T1083'"
