,Rule,Confidence,Support,Lift
2805,"(""'T1033'"", ""'T1057'"", ""'T1113'"") -> (""'T1082'"",)",1.0,0.05764075067024128,2.2953846153846156
3261,"(""'T1082'"", ""'T1547'"", ""'T1566'"") -> (""'T1204'"",)",1.0,0.05764075067024128,5.10958904109589
2427,"(""'T1033'"", ""'T1056'"", ""'T1057'"") -> (""'T1082'"",)",1.0,0.054959785522788206,2.295384615384616
6243,"(""'T1027'"", ""'T1057'"", ""'T1566'"") -> (""'T1204'"",)",1.0,0.05898123324396784,5.10958904109589
5943,"(""'T1053'"", ""'T1071'"", ""'T1140'"") -> (""'T1027'"",)",1.0,0.06166219839142091,2.0607734806629834
3314,"(""'T1082'"", ""'T1105'"", ""'T1566'"") -> (""'T1204'"",)",1.0,0.06836461126005362,5.10958904109589
5721,"(""'T1070'"", ""'T1082'"", ""'T1204'"") -> (""'T1027'"",)",1.0,0.05227882037533512,2.0607734806629834
3285,"(""'T1105'"", ""'T1140'"", ""'T1566'"") -> (""'T1204'"",)",1.0,0.06300268096514745,5.10958904109589
2432,"(""'T1033'"", ""'T1055'"", ""'T1057'"") -> (""'T1082'"",)",1.0,0.05093833780160858,2.2953846153846156
5802,"(""'T1070'"", ""'T1140'"", ""'T1204'"") -> (""'T1027'"",)",1.0,0.05093833780160858,2.0607734806629834
2775,"(""'T1033'"", ""'T1057'"", ""'T1083'"") -> (""'T1082'"",)",1.0,0.08847184986595175,2.295384615384616
3973,"(""'T1057'"", ""'T1105'"", ""'T1566'"") -> (""'T1204'"",)",1.0,0.05361930294906166,5.109589041095892
628,"(""'T1106'"", ""'T1566'"") -> (""'T1204'"",)",1.0,0.05093833780160858,5.109589041095892
2329,"(""'T1027'"", ""'T1105'"", ""'T1566'"") -> (""'T1204'"",)",0.9859154929577464,0.0938337801608579,5.0376229982635525
622,"(""'T1547'"", ""'T1566'"") -> (""'T1204'"",)",0.9848484848484848,0.0871313672922252,5.03217102532171
2916,"(""'T1059'"", ""'T1547'"", ""'T1566'"") -> (""'T1204'"",)",0.9830508474576272,0.0777479892761394,5.022985837009519
2299,"(""'T1027'"", ""'T1547'"", ""'T1566'"") -> (""'T1204'"",)",0.9827586206896552,0.07640750670241286,5.021492678318375
2509,"(""'T1027'"", ""'T1082'"", ""'T1566'"") -> (""'T1204'"",)",0.9824561403508772,0.07506702412868632,5.019947128094207
626,"(""'T1140'"", ""'T1566'"") -> (""'T1204'"",)",0.9818181818181818,0.07238605898123325,5.016687422166875
3276,"(""'T1105'"", ""'T1547'"", ""'T1566'"") -> (""'T1204'"",)",0.981132075471698,0.06970509383378018,5.0131817006978565
2889,"(""'T1059'"", ""'T1140'"", ""'T1566'"") -> (""'T1204'"",)",0.9803921568627452,0.06702412868632708,5.009401020682246
2346,"(""'T1027'"", ""'T1140'"", ""'T1566'"") -> (""'T1204'"",)",0.9803921568627452,0.06702412868632708,5.009401020682246
1939,"(""'T1036'"", ""'T1105'"", ""'T1566'"") -> (""'T1204'"",)",0.98,0.06568364611260054,5.007397260273971
